metric,baseline,smoother,pct_change_smoother_vs_baseline
cost_energy_kJ,45.69,46.82,2.5
RREI (exceedances/yr),263199.3,263199.3,0.0
NRS (MW/yr),609409.258,688223.186,12.9
LOLE proxy (days/yr),18.0448,18.4645,2.3
CV,0.0494,0.0448,-9.3
Peak-to-mean,1.0427,1.0351,-0.7
Freq nadir (Hz),59.1539,59.0272,-0.2
ROCOF (Hz/s),0.47135,0.54241,15.1
Voltage sag (events/yr),0.0,22635142.6,
Voltage sag depth (pu),0.04964,0.0517,4.1
