metric,baseline,smoother,pct_change_smoother_vs_baseline
cost_energy_kJ,45.69,48.24,5.6
RREI (exceedances/yr),263199.3,262324.2,-0.3
NRS (MW/yr),609409.258,972855.942,59.6
LOLE proxy (days/yr),18.0448,18.1483,0.6
CV,0.0494,0.0195,-60.5
Peak-to-mean,1.0427,1.0112,-3.0
Freq nadir (Hz),59.1539,58.6476,-0.9
ROCOF (Hz/s),0.47135,0.80184,70.1
Voltage sag (events/yr),0.0,0.0,
Voltage sag depth (pu),0.04964,0.04315,-13.1
