metric,baseline,smoother,pct_change_smoother_vs_baseline
cost_energy_kJ,45.69,46.63,2.1
RREI (exceedances/yr),263199.3,263199.3,0.0
NRS (MW/yr),609409.258,651048.866,6.8
LOLE proxy (days/yr),18.0448,18.2558,1.2
CV,0.0494,0.0484,-2.0
Peak-to-mean,1.0427,1.0395,-0.3
Freq nadir (Hz),59.1539,59.0893,-0.1
ROCOF (Hz/s),0.47135,0.50882,7.9
Voltage sag (events/yr),0.0,0.0,
Voltage sag depth (pu),0.04964,0.04927,-0.7
