metric,baseline,smoother,pct_change_smoother_vs_baseline
cost_energy_kJ,33.47,57.48,71.7
RREI (exceedances/yr),284815.9,220836.9,-22.5
NRS (MW/yr),610803.948,875141.679,43.3
LOLE proxy (days/yr),17.9236,15.0364,-16.1
CV,0.0436,0.0134,-69.3
Peak-to-mean,1.0626,1.0048,-5.4
Freq nadir (Hz),59.2358,58.5439,-1.2
ROCOF (Hz/s),0.43072,0.86215,100.2
Voltage sag (events/yr),0.0,0.0,
Voltage sag depth (pu),,0.0385,
