0,8100080.00104759,8100080.00104759,2151347.08992272,1.16315450144209,0.966492132948775
0.1,8107793.5774417,8100131.25385769,2145347.00680961,1.16248768050586,0.966669951865105
0.2,8095254.54352354,8100098.85058638,2155101.68400837,1.16357102928938,0.966381058856165
0.3,8099033.98600631,8100091.77510034,2152163.82486179,1.16324483278247,0.966468044591341
0.401,8101016.83527216,8100097.98291573,2150622.79859391,1.16307357961634,0.966513712102309
0.501,8105589.07261775,8100134.46842691,2147069.05467224,1.1626783800022,0.966619098666079
0.601,8108402.51248259,8100189.40539392,2144886.61582482,1.16243498722397,0.966684003406941
0.701,8087488.7960059,8100105.01627428,2161117.71790301,1.16424035942952,0.966202570818795
0.802,8099310.043021,8100099.68143516,2151951.24724574,1.16322099534543,0.96647440124122
0.902,8111945.62664928,8100178.39174404,2142112.22470691,1.16212823704728,0.966765803454058
1.002,8104849.14345816,8100209.42652459,2147666.18732022,1.16274236470163,0.966602036079564
1.102,8111482.07681161,8100284.32757891,2142503.13712394,1.16216838430967,0.966755097517422
1.202,8120793.90060486,8100420.60330859,2135231.89119498,1.16136104795507,0.966970387211982
1.303,8126441.75129886,8100595.22382292,2130827.96108761,1.16087049859275,0.967101200375265
1.403,8115529.15915183,8100694.4522628,2139440.09968628,1.16181772306474,0.966848607182736
1.503,8112763.95636494,8100774.64800731,2141629.00589707,1.16205735203712,0.966784706123433
1.603,8116296.14224119,8100877.78047866,2138886.68129502,1.16175122916141,0.966866338890291
1.703,8105618.08678779,8100909.27741428,2147251.78778525,1.1626758707983,0.966619767787119
1.804,8117258.28954749,8101018.99097913,2138168.62499119,1.16166779813176,0.966888587164864
1.904,8100399.56486431,8101014.87520618,2151346.70859438,1.1631269001992,0.966499493280213
2.004,8108648.9610223,8101065.59984164,2144925.99973716,1.16241365899083,0.96668969093578
2.104,8131959.3988052,8101270.87349561,2126644.84484593,1.16039061334701,0.96722916977413
2.204,8102280.14140758,8101277.57956994,2149952.13774944,1.16296442924672,0.96654281886754
2.305,8113640.04331374,8101360.54054376,2141097.40589016,1.16198144861917,0.966804947034888
2.405,8125062.99714857,8101518.03136841,2132158.3988245,1.16099031307895,0.967069249845614
2.505,8128685.75906833,8101698.54716518,2129346.1213267,1.16067540798958,0.967153224536111
2.605,8126369.57657184,8101862.47366575,2131218.26690794,1.1608767716025,0.967099527572666
2.705,8102606.79669106,8101867.41931544,2149854.15052049,1.16293620070286,0.966550346479238
2.805,8095770.78276289,8101826.910252,2155160.67884315,1.16352649092017,0.966392935754622
2.906,8134214.82948426,8102044.25635512,2125061.37264154,1.16019426814189,0.967281528495495
3.006,8115485.74079924,8102133.56821443,2139854.2459254,1.16182148687059,0.966847603501176
3.106,8113994.77007189,8102212.37989598,2141044.45588851,1.1619507108714,0.966813143767625
3.206,8122997.61945065,8102350.48729019,2134005.51480569,1.16116972115775,0.967021407691268
3.307,8129659.4683443,8102533.75008548,2128795.96176753,1.16059072235798,0.967175807371205
