metric,baseline,smoother,pct_change_smoother_vs_baseline
cost_energy_kJ,31.19,39.78,27.5
RREI (exceedances/yr),260806.6,261022.3,0.1
NRS (MW/yr),662687.849,646852.777,-2.4
LOLE proxy (days/yr),16.8904,17.9032,6.0
CV,0.0408,0.062,52.0
Peak-to-mean,1.0883,1.0747,-1.2
Freq nadir (Hz),59.1116,59.1298,0.0
ROCOF (Hz/s),0.52491,0.50987,-2.9
Voltage sag (events/yr),260806.6,0.0,-100.0
Voltage sag depth (pu),,0.04773,
