metric,baseline,smoother,pct_change_smoother_vs_baseline
cost_energy_kJ,33.47,34.57,3.3
RREI (exceedances/yr),284815.9,287148.3,0.8
NRS (MW/yr),610803.948,653751.757,7.0
LOLE proxy (days/yr),17.9236,18.5876,3.7
CV,0.0436,0.0434,-0.5
Peak-to-mean,1.0626,1.0581,-0.4
Freq nadir (Hz),59.2358,59.1766,-0.1
ROCOF (Hz/s),0.43072,0.46221,7.3
Voltage sag (events/yr),0.0,0.0,
Voltage sag depth (pu),,0.04496,
